fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,success,country,pricing
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,0.094,49.0,Spain,Medium
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,0.098,52.0,Italy,Expensive
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,0.098,52.0,Italy,Expensive
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,0.098,72.0,Italy,Budget
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,0.094,56.0,Italy,Budget
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,0.094,53.0,Italy,Expensive
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,0.094,57.0,Spain,Expensive
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,0.1,70.0,Spain,Budget
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,0.095,68.0,Italy,Expensive
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,0.105,53.0,Italy,Medium
6.7,0.58,0.08,1.8,0.09699999999999999,15.0,65.0,0.9959,3.28,0.54,0.092,48.0,Spain,Medium
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,0.105,57.0,Italy,Budget
5.6,0.615,0.0,1.6,0.08900000000000001,16.0,59.0,0.9943,3.58,0.52,0.099,57.0,Italy,Budget
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,0.091,60.0,Italy,Budget
8.9,0.62,0.18,3.8,0.17600000000000002,52.0,145.0,0.9986,3.16,0.88,,48.0,Italy,Expensive
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,0.092,48.0,Spain,Budget
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,0.105,61.0,Italy,Expensive
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,0.09300000000000001,55.0,Italy,Medium
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,0.09,40.0,Spain,Budget
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,0.092,61.0,Italy,Budget
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,0.094,67.0,Italy,Expensive
7.6,0.39,0.31,2.3,0.08199999999999999,23.0,71.0,0.9982,3.52,0.65,0.09699999999999999,59.0,Italy,Budget
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,0.095,52.0,Spain,Budget
